month,day,year,temp[c]
3,1,1823,3.6299999999999994
4,1,1823,7.559000000000001
5,1,1823,15.867
6,1,1823,21.144000000000002
7,1,1823,22.247000000000003
8,1,1823,21.508
9,1,1823,15.413000000000002
10,1,1823,8.715
11,1,1823,3.1359999999999983
12,1,1823,1.2149999999999987
1,1,1824,-1.5559999999999994
2,1,1824,-0.6589999999999997
3,1,1824,4.7780000000000005
4,1,1824,9.357
5,1,1824,15.479999999999999
6,1,1824,19.42
7,1,1824,21.296999999999997
8,1,1824,22.302000000000003
9,1,1824,17.046
10,1,1824,10.178
11,1,1824,4.954000000000001
12,1,1824,2.5899999999999994
1,1,1825,-3.2680000000000002
2,1,1825,-5.132000000000001
3,1,1825,-2.7430000000000003
4,1,1825,6.055999999999998
5,1,1825,14.45
6,1,1825,19.621999999999996
7,1,1825,20.878
8,1,1825,20.153000000000002
9,1,1825,14.853
10,1,1825,8.283
11,1,1825,7.432999999999999
12,1,1825,0.6199999999999999
1,1,1826,-5.612000000000001
2,1,1826,-6.124
3,1,1826,0.389999999999999
4,1,1826,6.773999999999999
5,1,1826,14.158999999999999
6,1,1826,18.507
7,1,1826,24.287000000000003
8,1,1826,21.368000000000002
9,1,1826,15.892000000000003
10,1,1826,7.9239999999999995
11,1,1826,4.901000000000002
12,1,1826,2.0070000000000006
2,1,1827,-3.5940000000000007
3,1,1827,4.061000000000002
4,1,1827,8.812999999999999
5,1,1827,15.603000000000002
6,1,1827,21.730000000000004
7,1,1827,23.171999999999997
8,1,1827,21.036
9,1,1827,14.045
10,1,1827,9.285
11,1,1827,3.1210000000000018
12,1,1827,-1.5179999999999991
1,1,1828,-8.674
2,1,1828,-7.886000000000001
3,1,1828,3.0080000000000005
4,1,1828,9.656999999999998
5,1,1828,14.889
6,1,1828,20.895000000000003
7,1,1828,23.225000000000005
8,1,1828,21.454
9,1,1828,13.421999999999999
10,1,1828,7.193999999999999
11,1,1828,2.2440000000000007
12,1,1828,-5.508000000000001
1,1,1829,-8.088
2,1,1829,-5.635000000000001
3,1,1829,0.3520000000000007
4,1,1829,10.729
5,1,1829,14.175
6,1,1829,17.742
7,1,1829,21.637000000000004
8,1,1829,20.727
9,1,1829,16.496
10,1,1829,7.698999999999998
11,1,1829,-0.43600000000000033
12,1,1829,-7.825000000000001
1,1,1830,-7.8999999999999995
2,1,1830,-6.0809999999999995
3,1,1830,-0.9770000000000008
4,1,1830,7.767000000000002
5,1,1830,15.957
6,1,1830,20.541
7,1,1830,20.680000000000003
8,1,1830,22.452
9,1,1830,14.632000000000001
10,1,1830,6.8640000000000025
11,1,1830,2.642000000000001
12,1,1830,2.8670000000000013
1,1,1831,-5.792
2,1,1831,-2.898
3,1,1831,1.053999999999999
4,1,1831,8.931000000000001
5,1,1831,15.472000000000001
6,1,1831,18.889000000000003
7,1,1831,20.6
8,1,1831,18.722
9,1,1831,13.383
10,1,1831,6.812999999999999
11,1,1831,1.9739999999999984
12,1,1831,-3.966
1,1,1832,-5.117999999999999
2,1,1832,-4.959000000000001
3,1,1832,-2.1990000000000007
4,1,1832,5.703
5,1,1832,14.54
6,1,1832,17.665
7,1,1832,18.224000000000004
8,1,1832,18.698000000000004
9,1,1832,13.09
10,1,1832,6.968000000000001
11,1,1832,-1.969
12,1,1832,-5.792
1,1,1833,-7.324
2,1,1833,-1.289
3,1,1833,0.6820000000000014
4,1,1833,8.145999999999999
5,1,1833,15.422
6,1,1833,22.226
7,1,1833,22.295
8,1,1833,18.365000000000002
9,1,1833,15.064000000000002
10,1,1833,6.490000000000001
11,1,1833,2.2479999999999993
12,1,1833,-1.5080000000000007
1,1,1834,-4.316
2,1,1834,-6.681
3,1,1834,1.5390000000000015
4,1,1834,6.944000000000002
5,1,1834,17.887000000000004
6,1,1834,20.13
7,1,1834,22.006
8,1,1834,21.598000000000003
9,1,1834,16.545
10,1,1834,7.843000000000003
11,1,1834,3.260999999999999
12,1,1834,-1.895000000000001
1,1,1835,-3.12
2,1,1835,-0.18899999999999967
3,1,1835,2.8890000000000016
4,1,1835,7.825000000000001
5,1,1835,14.71
6,1,1835,19.566000000000003
7,1,1835,21.295
8,1,1835,17.722
9,1,1835,12.650000000000002
10,1,1835,9.786000000000001
